dialog_act,utterance
inform,i want a cheap restaurant in the north part of town
reqalts,is there anything else
inform,dont care
inform,dont care
confirm,is it in the east part of town
null,noise
thankyou,thank you good bye
request,and the phone number
request,price range
request,what is the area
thankyou,thank you good bye
request,can i have the type of food
inform,south part of town
thankyou,thank you good bye
request,phone number
request,okay whats the post code
request,phone number
reqalts,how about european food
affirm,yes
inform,any
inform,it doesnt matter
inform,expensive
reqalts,no there is no such venue how about portuguese type of food
affirm,yes
request,can i have the phone number and the address please
request,phone number
inform,expensive
request,phone number
null,unintelligible
inform,australian
inform,cheap
reqalts,what about vietnamese type of food
inform,cheap restaurant
request,may i get the address
null,unintelligible
thankyou,thank you good bye
inform,thai
request,im looking for a restaurant in the north part of town serving french type of food
inform,i dont care
request,phone number
request,um whats the address and post code
request,what is the address
inform,cheap restaurant in the south part of town
affirm,yes id like an expensive restaurant in the east part of town
inform,swedish food
null,noise
reqalts,i want another restaurant that serves spanish food
reqalts,anything else
reqalts,what about a moderately priced restaurant in the south part of town
inform,any
inform,romanian
thankyou,thank you good bye
request,the address
inform,any
reqalts,how about asian food
thankyou,thank you goodbye
inform,unintelligible east
thankyou,thank you good bye
request,what is what area is it in
affirm,uh yes can i get the address
reqalts,is there anything else
inform,south of town
inform,can i find a restaurant with gastropub food
inform,any type
inform,a want a cheap restaurant in the north part of town
inform,ese food
request,uh phone number
request,address and phone number
thankyou,thank you good bye
request,what is the phone number
inform,the west part of town id like a cheap restaurant
request,whats the address
inform,moderate
request,what is the post code
thankyou,thank you good bye
request,whats the address
request,and what price range is that or nevermind
hello,hello and welcome to the cambridge
request,may i have the phone number and post code
reqalts,is there anything else
thankyou,thank you good bye
inform,west
inform,indian
null,noise
request,address
thankyou,thank you good bye
request,address
inform,welsh food in the north part of town
request,can i get the address
request,and the phone number
inform,south side
inform,cheap
request,phone number
inform,any kind
thankyou,thank you good bye
inform,any
affirm,yes
affirm,um yes
null,unintelligible
inform,east
inform,dont care
reqalts,what about thai
request,phone number
thankyou,thank you good bye
inform,spanish
inform,im looking for an expensive restaurant serving turkish food
inform,im looking for a cheap restaurant
inform,moderate
thankyou,thank you good bye
reqalts,what about italian food
inform,indian food noise
inform,moderate
inform,looking for a restaurant in the west part of town that serves bistro food
inform,moderate
inform,south
inform,like to find a restaurant in the east part of town and it should serve indian food
thankyou,thank you good bye
reqalts,how about moderately priced thai food
affirm,yes
thankyou,thank you is there anything else
null,sil
affirm,yes
inform,west part of town
null,can i get
affirm,yeah
reqalts,dont care is there anything else
request,address
null,unintelligible
thankyou,thank you good bye
inform,i would like chinese food
inform,i want to find a moderately priced restaurant that serves vietna
request,whats the phone number
reqalts,how about modern europone
affirm,yea
null,sil
inform,im looking for a moderately priced restaurant in the east part of town
inform,japanese
inform,dont care
inform,russian
request,what type of food do they serve
request,phone number
inform,i dont care
request,phone number
reqalts,how about portuguese
null,unintelligible
affirm,yes
inform,spanish food
inform,a cheap restaurant
inform,moderately priced any food
inform,cantonese
null,sil
confirm,is it in the north part of town
reqalts,how about vietnamese
thankyou,thank you good bye
request,what area is it in
thankyou,thank you good bye
thankyou,thank you good bye
request,post code
inform,food
null,unintelligible
thankyou,thank you good bye
inform,danish
inform,im looking for a restaurant in any area that serves
thankyou,thank you good bye
inform,vietnamese
inform,im looking for something moderately priced
request,where is the address
request,phone number
request,phone number
request,whats the phone number and post code
request,what is the address and phone number
request,whats the cost
reqalts,anything else
inform,its a restaurant in the south of town that serves italian food
thankyou,thank you goodbye
inform,i dont care
request,whats the address
request,address phone number and post code
inform,expensive restaurant south part of town
null,sil
inform,i dont care
request,what is the address
inform,persian
request,can i get the address
inform,venue
inform,doesnt matter
inform,the west part of town
reqalts,what about indian food
inform,vietnamese food
request,can i get the phone number
inform,i would like a cheap restaurant in the north part of town
inform,dont care
thankyou,thank you good bye
request,phone number
inform,south
negate,no thank you good bye
thankyou,thank you good bye
request,can i get the phone number
ack,have a good
affirm,yes
thankyou,thank you good bye
null,sil
inform,i dont care
thankyou,thank you goodbye
thankyou,thank you good bye
inform,afghan
affirm,uh yes can i have expensive restaurant that serves thai food
inform,i need an expensive restaurant serving british food
null,sil
inform,chinese food
null,and the
request,and the phone number
inform,moderate
null,you tell me
inform,european food
inform,i am looking for an expensive restaurant that serves australian food
inform,korean food
thankyou,thank you good bye
inform,any area
null,im looking
request,phone number
thankyou,thank you good bye
inform,moderate
request,what type of venue
thankyou,thank you goodbye
inform,i dont care
inform,um dont care
inform,south
request,can you give me the address and price range
inform,south
inform,i do not care
request,okay and uh whats the address
request,phone number
bye,good bye
inform,it does not matter
thankyou,thank you goodbye
request,what area is it in
inform,chinese food
request,phone number
inform,im looking for polynesian food
request,whats the phone number
inform,moderate
request,uh can i have the phone number please
inform,moderately priced restaurant in the north part of town
thankyou,thank you good bye
inform,canapes
affirm,yes
negate,no english food
inform,south
inform,cheap restaurant
inform,british food
thankyou,thank you good bye
inform,moderately priced restaurant south part of town
thankyou,thank you good bye
request,area of the food of the venue
thankyou,thank you good bye
null,sil
request,the address
null,sil
inform,thai food
thankyou,thank you good bye
inform,cheap
inform,italian
request,post code
thankyou,thank you good bye
null,im looking
inform,expensive restaurant
thankyou,thank you good bye
reqalts,is there a restaurant serving vietnamese food
thankyou,thank you good bye
request,price
request,can i get the address
request,whats the phone number
reqalts,how about british food
request,what is the address and phone number
inform,center
inform,earetree mediterranean food
inform,vietnamese food in any price range
request,may i have the address please
inform,what about a restaurant that serves vietnamese
inform,are there any british rest british food
inform,moderate
negate,no
null,sil
inform,cheap restaurant south part of town
thankyou,thank you good bye
thankyou,thank you good bye
inform,dont care west part of town
inform,spanish
thankyou,thank you good bye
thankyou,thank you good bye
reqalts,is there anything else
inform,european food
request,whats the post code
request,what type of food does it serve
inform,im looking for a cheap restaurant that serves
inform,any
inform,tv_noise im looking for an expensive restaurant and it should serve tuscan food
inform,north
request,what is the address
thankyou,thank you good bye
thankyou,thank you good bye
request,the address
request,what is the post code
thankyou,thank you good bye
thankyou,thank you goodbye
thankyou,thank you goodbye
request,what is the address
thankyou,thank you good bye
request,could i have its number
inform,moderate
null,adress
affirm,yes
inform,indian food
reqalts,what about chinese food
inform,a cheap restaurant in the east part of town
request,phone number
request,okay and uh the phone number
thankyou,thank you good bye
inform,any area
negate,no air tran food
inform,can you tell me about an expensive restaurant in the south
inform,moderately priced restaurant
inform,i want a restaurant that serves basque food
inform,im looking for a restaurant that serves thai food
request,okay and uh can i get the address
inform,i want to find an expensive restaurant in the south part of town
inform,pan asian food
request,price range
inform,expensive
affirm,yes
inform,canape
request,excellent and what is the price range of that venue
inform,any
request,what is the address
request,may i have the address and price range
request,what is the address
request,whats the address
thankyou,thank you good bye
inform,is there an indian restaurant in the south of town
request,phone number
inform,i dont care
inform,i need a cheap restaurant in the north part of town
inform,any
request,postcode
request,phone number
bye,good bye
request,what price range
thankyou,thank you good bye
request,phone number
thankyou,thank you good bye
thankyou,thank you good bye
reqalts,how about indian food
inform,im looking for um
thankyou,thank you good bye
inform,moderate
inform,gastropub
request,phone number please
thankyou,thank you good bye
request,phone number
inform,thai food
request,what is the address
inform,vietnamese
inform,bistro food
confirm,does it serve m african food
null,sil
inform,im looking for a restaurant
inform,italian food
inform,moderate restaurant seafood
inform,a moderately priced restaurant in the south part of town
inform,i want to find a cheap restaurant and it should be in the north part of
inform,find restaurant serving asian oriental
request,what is their phone number
inform,thai food
inform,thai
request,type of food do they serve
null,unintelligible
thankyou,thank you good bye
thankyou,thank you good bye
affirm,yes
inform,in an expensive restaurant
request,can i get the phone number
request,what type of food
inform,im looking for italian food
negate,no british food
request,address and phone number
request,whats the post code
inform,gastropub
reqalts,how about asian oriental type of food
inform,german food
request,and the phone number please
inform,an expensive restaurant in the south part of town
null,sil
request,what is the address
request,phone number
thankyou,thank you good bye
inform,dont care
thankyou,thank you
request,the price range
reqalts,is there anything else
thankyou,thank you good bye
inform,restaurant indian restaurant
thankyou,thank you good bye
null,noise
null,what is the
inform,cheap indian food
inform,im looking for a restaurant in the center that serves turkish food
request,and the post code
null,noise
request,can i get the phone number
inform,i want vegetarian food
inform,im looking for a restaurant in any area it should serve gastropub food
inform,greek food
request,what do they serve
inform,italian food instead
inform,british food
request,what kind of food does it
hello,hello im looking for a cheap
thankyou,unintelligible thank you goodbye
thankyou,um okay thank you good bye
thankyou,thank you good bye
inform,i dont care
thankyou,thank you good bye
inform,im looking for mexican food
request,phone number
request,address
inform,in the west
thankyou,thank you
null,sil
inform,french food
inform,seafood
request,and their phone number
inform,i would like to find a restaurant that serves halal food
reqalts,okay how about asian oriental
inform,european
thankyou,thank you goodbye
request,address
request,whats the address
reqalts,anything else
request,phone number
inform,japanese food
thankyou,thank you good bye
null,noise
reqalts,how about european food
reqalts,is there anything else
request,and the phone number
request,address
inform,indian food
thankyou,thank you good bye
reqalts,what about french food
inform,scottish
request,what is the phone number and post code
inform,i dont care
thankyou,thank you good bye
inform,any type of food
affirm,yes
thankyou,thank you good bye
inform,it doesnt matter
inform,indian food
inform,vietnamese
inform,eritrean
reqalts,okay what about another restaurant
inform,uh doesnt matter
inform,south part
request,phone number
inform,im looking for a cheap restaurant in the west part of town
bye,good bye
inform,doesnt matter
thankyou,thank you good bye
request,what is the address
thankyou,thank you good bye
affirm,yes
inform,any
request,phone number
request,whats the address
inform,restaurant in west part of town serving corsica food
inform,cheap
affirm,yes
request,the address
request,address
inform,cheap
inform,doesnt matter
inform,can i have a moderately priced restaurant in the west part of town
thankyou,thank you good bye
inform,uh the south
inform,halal food
inform,italian food
reqalts,can i have another option
affirm,yes
inform,moderately priced restaurant serving moroccan food
reqalts,anything else
inform,i want to find an expensive restaurant on the east part of town
request,area
inform,any area
inform,dont care
inform,mediterranean food
reqalts,is there anything else
request,whats the address
inform,im looking for a restaurant serving thai type of food
inform,the east part of town
inform,moderately priced restaurant in
inform,gastropub
affirm,ye
affirm,yes
inform,vegetarian food
request,phone number
request,the address
affirm,uh yeah im looking for a restaurant in the south part of town and that serves kosher food
reqalts,how about indian food
inform,north
thankyou,thank you good bye
inform,expensive restaurant
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,any
reqalts,anything else
null,sil
thankyou,thank you good bye
negate,no
reqalts,how about indian food
thankyou,thank you good bye
request,phone number
null,noise
thankyou,thank you good bye
inform,asian oriental food
thankyou,thank you good bye
inform,i dont care
inform,any
inform,moderate
inform,british food
affirm,yea
thankyou,thank you good bye
request,can i have their phone number
thankyou,thank you good bye
inform,it doesnt matter
request,and the address
null,that serves unintelligible
thankyou,thank you good bye
reqalts,how about spanish types of food
affirm,yes
null,unintelligible
inform,im looking for a restaurant that serves jamaican food
negate,no
inform,what about a spanish restuarant
request,and the type of food
inform,dont care
request,what is the address and phone number
negate,no
inform,im looking for a cheap restaurant in the north part of town
request,may i have the phone number
request,address
inform,christmas food
inform,turkish food
null,noise
inform,south
inform,dont care
reqalts,what about european
negate,no
inform,im looking for a moderately priced restaurant in the west part of town
thankyou,thank you good bye
inform,seafood
inform,traditional
inform,oriental
negate,no
inform,i want to find a restaurant in the south part of town and it shows
request,address
inform,indian food
request,phone number
request,phone
inform,food
request,whats the postcode
request,whats the phone number
thankyou,thank you good bye
inform,spanish
request,what the addre
reqalts,next
request,what is the address please
null,sil
inform,that serves indian food
inform,i need a restaurant that
request,phone number
thankyou,thank you good bye
request,whats the address
inform,any
inform,any
affirm,yes
request,phone number
inform,italian food
inform,cheap price range
request,do you have the phone number and post code
inform,i dont care
reqalts,is there anything else
inform,find a restaurant serving cannabis food
inform,im looking for a restaurant in the south part of town
request,address
inform,north american food
request,and the phone number
bye,good bye
inform,vietnamese
request,and the phone number please
inform,i am looking for italian
confirm,is it expensive
inform,moderate
affirm,uh yes i am looking for an expensive restaurant in the south part of
null,sil
inform,west part of town
null,unintelligible
request,can i get their address
request,phone number tv_noise
inform,south town
request,what is the phone number
thankyou,thank you good bye
bye,okay thank you and good bye
inform,turkish food
inform,moderate
request,phone number
inform,polish food
inform,id like thai food
request,and the post code
inform,seafood
null,unintelligible
reqalts,is there anything else
inform,any
inform,cheap price range
null,sil
inform,i dont care
inform,south
request,what is the address of the
inform,any
affirm,yes can i have restaurants serving
inform,lebanese food
thankyou,thank you good bye
request,what area is it in
null,noise
request,what is the phone number
null,noise
inform,im looking for a moderately priced restaurant serving fusion food
request,whats the address
affirm,yes
inform,west part of town
null,sil
inform,expensive
negate,no steak house
affirm,yes id like a moderately priced restaurant
negate,no
inform,it doesnt matter
null,id like
inform,dont care
inform,unintelligible food
request,address
request,phone number
request,what area
inform,gastropub
request,address
inform,thai food
null,noise
negate,no caribbean
thankyou,thank you good bye
inform,center
thankyou,thank you good bye
request,address
inform,yea im looking for a restaurant in the moderate price range serving vietnamese food
thankyou,thank you good bye
reqalts,breath is there anything else
inform,spanish food
inform,i want a korean restaurant
null,noise
inform,im looking for an expensive restaurant that serves sea food
inform,moderate price
affirm,correct
thankyou,thank you good bye
request,address
inform,im looking for a restaurant in the west part of town that serves corsica food
request,whats the phone number
request,what is the address and phone number
inform,indian
bye,okay good bye
inform,sea food
thankyou,thank you good bye
inform,anything
inform,cheap
inform,chinese food
null,cough
inform,i dont care
inform,north part of town
inform,um doesnt matter
inform,the center of town
negate,no hungarian food
inform,sea food
bye,good bye
inform,i dont care
request,whats the address and phone number
request,and the telephone
hello,hello and welcome to the cambridge
thankyou,thank you good bye
inform,can i have a seafood restaurant please
thankyou,thank you good bye
inform,moderate
affirm,yea
hello,hello
request,address
request,may i have the address phone
inform,canapes food
inform,im looking for a restaurant in the south part of town that serves
reqalts,is there a restaurant that has british food
inform,european food
request,address
inform,looking for a restaurant noise in the east part of town
inform,chinese
request,price range
request,could i have the phone number and address please
affirm,yes
inform,thai food
inform,i want a singaporean food restaurant
affirm,yes
inform,im looking for polynesian food
request,phone number
inform,i want a restaurant in the east part of town that serves singaporean food
request,address
inform,looking for a restaurant in any area
request,what kind of food
inform,austrian food
bye,goodbye
request,phone number
inform,south
inform,moderately priced restaraunt
thankyou,thank you good bye
inform,find restaurant in south of town serving international f
thankyou,thank you good bye
request,what type of food do they serve
thankyou,thank you good bye
request,phone number
inform,any
request,phone number
affirm,yeah
request,phone number
thankyou,thank you good bye
repeat,please repeat
request,what is the phone number
request,post code
reqalts,is there anything else
thankyou,thank you good bye
thankyou,okay thank you good bye
inform,i dont care
inform,steak
inform,east part of town
request,and the phone number
inform,lebanese food
thankyou,thank you good bye
request,what is the phone number and post code
inform,french food
request,phone number
inform,id like a cantonese resturant in the south part of town
inform,uh i want a restaurant that serves international food
inform,chinese oriental
request,uh can i get the post code and phone number
thankyou,thank you good bye
inform,south part of town
request,and what is the phone number
inform,dont care
thankyou,thank you good bye
inform,spanish food
null,unintelligible
request,what type of food do they serve
request,what is their phone number
null,noise
affirm,yes
thankyou,thank you good bye
inform,doesnt matter
bye,bye
inform,west part of town
request,and the post code
inform,i am looking for a moderately priced restaurant in the
thankyou,thank you good bye
inform,african food
request,price
request,what is the address
negate,no
request,could you give me the phone number and post code
inform,i want to find international food
request,post code
inform,indian
affirm,yes
inform,is there a chinese restaurant in the cheap price range
thankyou,thank you good bye
request,the phone number
inform,moderate
affirm,yes
inform,what about in the center of town
reqalts,how about european food
request,what is the address
inform,italian
affirm,yes
request,phone number
request,can i get the address and area of the venue
request,address
inform,moderate price
bye,see you goodbye
null,unintelligible
inform,i would like to find a restaurant in the center and it should serve korean food
thankyou,thank you good bye
bye,alright thank you good bye
request,whats their phone number
inform,mediterranean
request,and phone number
thankyou,thank you good bye
request,what kind of food
thankyou,thank you good bye
reqalts,how about european
inform,im looking for a moderately priced restaurant in the north
reqalts,next one
request,whats the address and phone number
inform,im looking for an expensive restaurant in the east part of town
request,do you have the phone number
reqalts,is there any thing else
reqalts,is there any restaurant serving asian oriental food
bye,goodbye
inform,im looking for a malaysian restaurant in the north part of town
null,inaudible
inform,any price range
inform,any part of town please
inform,korean
inform,asian oriental food
inform,i need a cheap restaurant that serves international food
inform,tv_noise im looking for a restaurant in the moderately pri
negate,no
inform,spanish
inform,im looking for a restaurant in the center serving greek food
inform,unusual food
inform,im looking for a moderate priced restaurant that serves kosher food
inform,uh dont care
inform,gastropub
inform,uh i dont care
request,post code
inform,im looking for a cheap restaurant in the south part of town
inform,anything
reqalts,is there anything else
inform,im looking for a restaurant in the north part of town that serves christmas food
inform,north
thankyou,thank you goodbye
inform,im looking for an expensive restaurant in the south part of town
bye,alright good bye thank you
inform,jamaican food
negate,no
reqalts,how about french
inform,bistro
request,can i get the phone number
affirm,ah yes that serves french food
null,noise
negate,no north
inform,looking for a restaurant in the north part of town serving bra
hello,hi i want a restaurant
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,looking for a cheap restaurant in the east part of town
inform,italian
request,phone number
reqalts,is there anything else
inform,east
inform,could i have a moderately priced restaurant in the east part of town
request,phone number
inform,gastropub
request,what is the phone number
affirm,yes
request,may i have the phone number
thankyou,thank you good bye
thankyou,thank you good bye
inform,i dont care
request,address
inform,i do not care
inform,korean
reqalts,how about asian oriental
request,whats the phone number
inform,how how bout chinese food
inform,south
thankyou,thank you good bye
inform,a cheap
request,address
inform,any
thankyou,thank you good bye
thankyou,thank you good bye
inform,breath id like a moderately priced restaurant that serves thai food
inform,austrian
inform,asian oriental food
affirm,right
request,whats the post code noise
affirm,yes
thankyou,thank you good bye
request,whats the phone number
negate,no chinese
request,whats the phone number
inform,any area
inform,can i have a cheap restaurant
inform,doesnt matter
null,who is it by
request,phone number
reqalts,is there a restaurant serving thai food
inform,i dont care
affirm,yes
affirm,yes
inform,chinese
thankyou,thank you good bye
thankyou,thank you goodbye
affirm,yes right
thankyou,thank you good bye
null,okay
affirm,thats correct
inform,looking for welsh food
request,what is the address
null,um breath
null,for
inform,im looking for a moderately priced restaurant in the north part of town
inform,cheap
request,and type of food
inform,the east part
null,sigh
request,what is their address
inform,expensive restaurant south part of town
request,phone number
null,noise
null,sil
negate,no i want spanish food
thankyou,thank you good bye
request,and whats the price range
request,type of food
bye,you good bye
reqalts,is there anything else
inform,center
thankyou,thank you good bye
request,the phone number
inform,im looking for a moderately priced restaurant in the east part of town
inform,international food
inform,thai food
inform,i am looking for gastropub food
inform,east
request,can i get an address and phone number
inform,any
inform,spanish spanish food spanish
null,that serves
affirm,yes
inform,noise i want to find a restaurant that serve french food
request,address
inform,any part
thankyou,thank you good bye
inform,i dont care
request,whats the phone number
inform,i dont care
inform,can i have an expensive restaurant
thankyou,thank you good bye
inform,british food
negate,um no
inform,looking for a cheap restaurant in the west part of town
inform,i want to find a cheap
request,and the post code
reqalts,is there anything else
thankyou,thank you good bye
inform,vietnamese food
inform,the south part
request,unintelligible part of town
thankyou,thank you good bye
inform,expensive french food
inform,north
inform,find me a moderately priced restaurant in the north part of town
thankyou,thank you good bye
negate,no
request,address
request,address
inform,spanish restaurant in the south part of town
request,what is the phone number
request,what is the phone number
request,and the telephone number
request,okay and whats their phone number please
thankyou,thank you good bye
request,phone number
request,phone number
inform,south
request,may i have the phone number
inform,north american
affirm,right
reqalts,is there anything else
inform,north
negate,no i said irish
thankyou,thank you good bye
inform,a cheap mexican restaurant
inform,thai food
request,and the phone number
thankyou,thank you goodbye
request,and the postal code
reqalts,is there anything else
request,could i have the phone number
request,whats the address
negate,no noise
inform,im looking for a restaurant that serves welsh food
null,breathing
inform,noise east
request,whats the phone number
inform,the expensive price range
request,and phone number
request,can i get the address
inform,west
inform,crossover restaurant west part of town
reqalts,do you have a restaurant that serves korean food
request,postcode
thankyou,thank you good bye
inform,i dont care
thankyou,thank you good bye
inform,halo food
reqalts,okay how bout thai food
inform,expensive noise
inform,expensive
inform,dont care
request,can i get the post code please
inform,im looking for a moderately priced restaurant in the west part of town
inform,im looking for a restaurant in the west part of town that should serve english food
inform,korean
request,whats the price range
thankyou,thank you good bye
null,sil
reqmore,more
thankyou,thank you good bye
null,noise
inform,i want to find a cheap restaurant
thankyou,thank you good bye
thankyou,thank you good bye
inform,cantonese food
request,address
thankyou,thank you good bye
inform,canapes food
thankyou,thank you good bye
request,phone number
request,post code
inform,moderately priced
thankyou,thank you good bye
reqalts,how about european type of food
affirm,yes
null,sil
thankyou,thank you good bye
null,unintelligible
null,sil
thankyou,thank you good bye
request,and the address
request,what is the price range
inform,any
request,phone number
inform,looking for a restaurant
inform,i dont care
thankyou,thank you good bye
request,whats the address
request,what is the address
thankyou,thank you
inform,any area
inform,i dont care
request,telephone number
null,noise
inform,north american food
thankyou,thank you good bye
request,whats the address
request,can i have the address
inform,moderate
inform,breath im looking for a moderately priced restaurant in the east p
inform,uh mediterranean food
null,ad
request,could i have the address and phone number
inform,turkish food
inform,any
null,static
request,what area
thankyou,thank you good bye
inform,asian oriental food
inform,korean
reqalts,is there anything else
request,whats the phone number
null,noise
null,can i
affirm,yes
request,whats the address
ack,okay um
null,noise
inform,indian food
request,phone number
request,whats the phone number
thankyou,thank you good bye
request,what is the phone number
request,noise can i get the address and phone number
inform,venetian food
negate,no well how about thai
inform,moderate
request,in the area
thankyou,thank you goodbye noise
thankyou,thank you good bye
null,sil
null,okay
reqalts,anything else
thankyou,thank you goodbye
hello,hello
affirm,right
request,can i have the address phone number and postal code
inform,im looking for a restaurant serving romanian food
null,unintelligible
null,unintelligible
request,phone number
inform,east
affirm,yea
reqalts,how about turkish
inform,shit served swiss food
null,unintelligible
request,address
inform,im looking for a moderately priced restaurant that serves
inform,center
thankyou,thank you good bye
request,what is the phone number
request,can i have the address
null,i want
request,can i get the address
inform,uh i dont care
inform,dont care
request,what kind of food is it
inform,restaurant in west part of town
reqalts,how about thai food
inform,afghan food
negate,no
affirm,yes
reqalts,is there anything else
thankyou,thank you good bye
null,sil
request,address
thankyou,thank you good bye
inform,im looking for a japanese restaurant in the east part
request,whats the address
reqalts,how about chinese food
affirm,yes
request,what is the type of food
inform,i dont care
inform,polynesian food
inform,im looking for a moderately priced restaurant in the west part of town
inform,im looking for a cheap restaurant in the north part of town
inform,caribbean
reqalts,how about international food
request,address
inform,find me an expensive restaurant in the south part of town
reqalts,how about korean food
request,and whats their address
inform,the turkiesh
hello,noise hello
request,and the phone number
affirm,right
null,sil
request,whats the phone number
inform,im looking for a restaurant serving polish food
thankyou,thank you good bye
request,address
null,noise
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
request,phone number
inform,cheap italian food
inform,i dont care
reqalts,give me a different restaurant
inform,is there one that serves creative food
inform,it doesnt matter
thankyou,thank you good bye
request,may i have the address phone number and price range
null,sil
inform,any kind of food
inform,restaurant
inform,moderate
inform,im looking for a cheap restaurant serving mediterranean food
null,do they serve
inform,i dont care
bye,okay thank you and good bye
inform,any area
inform,irish food
inform,breath can you find me danish restaurant
request,phone number
request,what is the price range
inform,im looking for a restaurant in the south
request,could i have the address and phone number
affirm,yes
request,phone number
inform,im looking for a restaurant that serves polynesian food
request,what is their address
null,type
inform,lebanese
thankyou,thank you good bye
reqalts,how about thai food
null,im sorry
inform,im looking for a restaurant
inform,im looking for a restaurant in the west part of town that serves crossover food
affirm,yes i am in the east part of town right now and i am looking for any place that serves indonesian food
request,could i have the phone number and address please
request,what is the type of food
thankyou,thank you good bye
inform,north
request,whats its address
inform,i would like it to be cheap
inform,portuguese food
request,can i have their phone number
null,priced
reqalts,okay how about indian food
request,can i get the phone number
affirm,yea
inform,it doesnt matter
thankyou,thank you good bye
reqalts,how about somewhere serving modern european
negate,no
inform,hi im looking for moderately priced
request,and their phone number
inform,food type
request,whats the address
request,and the phone number
reqalts,how about modern european
inform,any
inform,im looking for meditteranian
request,phone number
request,what is the phone number
inform,turkish
inform,gastropub
inform,east
thankyou,thank you good bye
inform,food
request,whats the address
inform,asian restaurant
inform,any
thankyou,thank you good bye
request,address
inform,any area
reqalts,are there any other expensive restaurants in the east part of town
null,noise
request,what is the phone number
inform,british food
affirm,yes
request,phone number
null,post
inform,the east part of town
thankyou,thank you good bye
request,whats their post code
inform,i want to find a restaurant in any area
request,post code
inform,looking for a cheap restaurant that serves creative food
thankyou,thank you good bye
reqalts,is there anything else
request,and the phone number
request,what is the address and phone number
request,phone number
inform,can i have an asian oriental restaurant in the
inform,any kind of food
thankyou,thank you good bye
inform,in the east part of town
request,the phone number
request,what is the phone number and address
inform,south
bye,good bye
inform,portuguese food
request,address phone number and type of food
null,noise
inform,gastro pub food
ack,okay can you give me another restaurant
inform,expensive restaurant
request,can i have the post code
null,noise
thankyou,thank you good bye
request,what is their phone number
inform,doesnt matter
bye,good bye
inform,italian food
null,unintelligible
thankyou,thank you good bye
request,post code
inform,im looking for international
request,phone number
request,whats the address
inform,any kind
thankyou,thank you good bye
inform,uh im looking for a moderately priced restaurant serving
inform,indian
inform,north part of town
reqalts,how about italian
inform,im looking for a restaurant that serves thai food
request,what is the phone number and price range
inform,im looking for a restaurant in the south part of town
request,whats the phone number
null,unintelligible
request,phone number
request,phone number
inform,moderate
inform,jamaican
inform,canapes food
affirm,yes
null,oh my god
request,what is the address and post code
thankyou,thank you good bye
reqalts,how about spanish food
request,the phone number
null,noise
bye,very good thank you good bye
reqalts,ok is there any restaurant that serves chinese food in the east part of town
request,phone number
reqalts,i want something else
null,noise
thankyou,thank you good bye
inform,mexican
affirm,yes
thankyou,thank you good bye
reqalts,is there anything else
request,can i have the phone
null,noise
inform,cheap restaurant serving scandinavian food
thankyou,thank you goodbye
thankyou,thank you good bye
inform,russian
inform,moderately
reqalts,is there anything else
request,type of food
null,bad
request,what is the address and phone number
negate,no canapes
affirm,yes
inform,i dont care
inform,any kind
inform,any price range
request,and whats the phone number
inform,moderately priced
request,whats the address
inform,doesnt matter
thankyou,thank you good bye
thankyou,thank you good bye
request,what is the phone number and price range
inform,west
thankyou,thank you good bye
inform,chinese
request,can i have the phone number
thankyou,thank you good bye
inform,korean
request,what is the address
inform,any
null,the addre
inform,european food any price
thankyou,thank you good bye
null,unintelligible
inform,cheap restaurant
inform,im looking for a restaurant in any area that serves north american type
request,area
request,the address please
request,whats the address
request,whats the address
inform,center
request,phone number
thankyou,thank you good bye
request,and the phone number
reqalts,another
thankyou,thank you good bye
affirm,yes
bye,bye
inform,indian
inform,expensive restaurant in the south part of town
request,post code
inform,yes i dont care about the price range
request,whats their post code
inform,any
thankyou,thank you good bye
inform,any
inform,i want scottish food
inform,expensive
request,what is the phone number
inform,a moderately priced restaurant in the west part of town
inform,greek food
request,address
null,how about
inform,unusual food
request,and the phone number
request,whats the address
affirm,yes
affirm,right
request,area
thankyou,thank you good bye
thankyou,thank you good bye
negate,no
inform,type food
inform,sea food
inform,expensive restaurant
inform,cuban
reqalts,is there anything else
request,could i have the address phone number and post code
inform,im looking for a moderate priced restaurant that serves indian food
negate,no
thankyou,thank you good bye
thankyou,thank you good bye
request,and the phone number
inform,im looking for a restaurant in the west park of town that serves australian food
request,address
request,can i get the address
inform,i dont care
request,what is the address
request,well whats the phone number
request,phone number
inform,south noise
inform,moderate price range
inform,turkish
inform,moderately
inform,im looking for a restaurant in the east part of town that serves chinese food
inform,thai food
thankyou,thank you good bye
thankyou,thank you good bye
null,unintelligible
repeat,can you repeat that
inform,is there one that serves indian food
inform,expensive restaurant in the east
inform,it doesnt matter
thankyou,thank you good bye
inform,any area
null,both
inform,um in the south part of town and its cheap
request,can i have the address and the post code please
request,and the post code
request,what is its address phone number and area
inform,any area
inform,indian food
request,and the phone number and address
request,address and phone number
request,what is the address
thankyou,thank you good bye
thankyou,thank you good bye
request,phone number
inform,any kind of food
thankyou,thank you good bye
inform,i dont care
thankyou,thank you good bye
request,and what kind of food do they serve
affirm,yes
inform,im looking for an expensive restaurant in the east part of town
inform,im looking for a restaurant in the south part of town it should serve kosher food
